run,seed,iter,completed_eps,mean_return,mean_len,in_progress,ip_return,ip_len,clears,loss,policy_loss,value_loss,entropy,at_entrance,tau,tau_max,trail_rate,trail_n,trail_d,ent_rate,ent_n,ent_d,truncated
v27,0,34,234,1288.5,199.1,60,1486.7,247.6,13,10.6198,0.0662,42.2264,1.126,False,0,784,0.1,3,30,0.03,33,1098,1721
v27,0,35,228,1351.8,206.5,60,1422.6,239.2,16,9.0928,-0.1083,36.8169,1.0526,False,0,784,0.07,2,30,0.033,41,1227,1772
v27,0,36,211,1368.4,205.7,60,1718.4,300.6,17,10.8668,0.0757,43.1789,1.0581,False,0,784,0.03,1,30,0.037,49,1333,1822
v27,0,37,212,1407.3,213.4,60,1577.6,270.1,14,11.693,0.0938,46.412,1.0478,False,0,784,0.13,4,30,0.036,52,1435,1869
v27,0,38,215,1407.9,219.5,60,1366.5,237.4,21,10.5733,-0.0077,42.3397,0.9816,False,0,784,0.17,5,30,0.038,59,1544,1920
v27,0,39,203,1460.7,223.0,60,1599.8,269.4,18,11.7137,0.067,46.6035,1.0145,False,0,784,0.17,5,30,0.043,72,1664,1968
v27,0,40,174,1677.5,267.0,60,1530.6,249.6,24,7.8214,-0.0074,31.3321,0.9555,False,0,784,0.23,7,30,0.048,84,1753,2019
v27,0,41,166,1592.6,253.5,60,1760.2,322.7,34,7.947,-0.0203,31.8878,0.9935,False,0,784,0.27,8,30,0.053,97,1833,2069
v27,0,42,179,1379.5,215.8,60,2095.9,380.1,34,7.7689,-0.0885,31.4463,0.9002,False,0,784,0.2,6,30,0.056,108,1927,2111
v27,0,43,170,1646.3,262.7,60,1690.0,279.6,33,8.8542,0.058,35.2032,0.9549,False,0,784,0.3,9,30,0.064,129,2028,2147
v27,0,44,166,1593.5,251.6,60,1831.2,327.8,31,10.7335,0.0399,42.7925,0.9429,False,0,784,0.27,8,30,0.067,141,2118,2190
v27,0,45,174,1595.7,260.4,60,1638.9,268.8,35,8.3192,0.0214,33.2082,0.8718,False,0,784,0.37,11,30,0.072,160,2210,2230
v27,0,46,145,1690.9,278.0,60,2010.7,352.2,37,7.5194,0.0101,30.0542,0.8644,False,0,784,0.33,10,30,0.077,177,2290,2274
v27,0,47,158,1602.5,252.5,60,2012.0,359.1,39,10.3965,0.0287,41.4876,0.8492,False,0,784,0.27,8,30,0.08,191,2380,2315
v27,0,48,156,1624.6,247.3,60,2091.0,381.1,39,8.7537,0.0269,34.9236,0.8156,False,0,784,0.13,4,30,0.084,209,2491,2352
v27,0,49,153,1780.1,287.1,60,1691.1,291.8,35,7.4167,-0.0632,29.9361,0.8133,False,0,784,0.33,10,30,0.089,229,2570,2385
v27,0,50,130,1824.4,302.3,60,1980.4,369.0,39,10.5456,0.0512,41.9933,0.7809,False,0,784,0.33,10,30,0.093,245,2645,2428
v27,0,51,140,1724.0,283.4,60,2042.6,362.8,35,8.9969,0.0487,35.8086,0.7952,False,0,784,0.3,9,30,0.096,262,2724,2469
v27,0,52,133,1889.3,298.9,60,2124.6,361.5,39,9.0743,0.0802,35.9922,0.7808,False,0,784,0.4,12,30,0.099,277,2798,2510
v27,0,53,105,2370.5,423.8,60,1692.8,282.3,47,6.5389,-0.0098,26.2101,0.7737,False,0,784,0.53,16,30,0.107,307,2867,2549
v27,0,54,95,2102.7,353.4,60,2395.6,464.5,50,6.7145,0.0371,26.7247,0.7565,False,0,784,0.23,7,30,0.111,326,2929,2595
v27,0,55,143,1828.2,305.0,60,1739.5,297.1,41,7.8994,-0.0894,31.9688,0.6812,False,0,784,0.5,15,30,0.118,357,3016,2624
v27,0,56,120,2006.6,332.2,60,2003.1,359.7,47,8.067,-0.0126,32.3312,0.6444,False,0,784,0.37,11,30,0.122,377,3080,2669
v27,0,57,115,2085.8,354.9,60,1993.8,343.7,47,9.0906,0.0892,36.0188,0.6665,False,0,784,0.5,15,30,0.128,403,3146,2707
v27,0,58,110,2218.4,386.5,60,1935.9,315.4,48,5.978,-0.0014,23.9315,0.7021,False,0,784,0.63,19,30,0.132,423,3199,2746
v27,0,59,123,2129.9,341.2,60,2007.8,324.6,42,5.9472,-0.0139,23.8577,0.6749,False,0,784,0.43,13,30,0.135,440,3262,2788
v27,0,60,103,2266.9,402.1,60,1974.1,333.7,53,6.8363,0.0271,27.2489,0.6136,False,0,784,0.53,16,30,0.14,464,3319,2829
v27,0,61,109,2124.1,374.5,60,1938.3,343.7,54,8.4566,0.0811,33.5149,0.6579,False,0,784,0.5,15,30,0.145,490,3384,2865
v27,0,62,122,2054.4,333.7,60,2092.0,345.5,49,10.5174,0.146,41.4971,0.5912,False,0,784,0.37,11,30,0.149,515,3465,2900
v27,0,63,125,2088.7,349.3,60,1782.0,296.3,47,9.5214,0.1396,37.538,0.5311,False,0,784,0.53,16,30,0.152,539,3542,2937
