run,generation,avg_fitness,best_fitness,success_rate,episodes,vanilla_ppo_clears,approx_mean_ep_len,ppo_entropy
v27_seed0,249,1151.4119343597617,2866.67333984375,0.0,149,0,412.3489932885906,0.10045621544122696
v27_seed1,30,1195.759747937261,4539.330078125,0.07755102040816327,245,19,250.77551020408163,1.2685966491699219
v27_seed1,31,1301.5496621400248,4023.100830078125,0.07792207792207792,231,18,265.97402597402595,1.1960718631744385
v27_seed1,32,1333.8423547789107,4295.4599609375,0.08372093023255814,215,18,285.7674418604651,1.2165968418121338
v27_seed1,33,1369.6262258610254,4244.5546875,0.0892018779342723,213,19,288.4507042253521,1.234525203704834
v27_seed1,34,1405.4589311333114,4307.17822265625,0.13978494623655913,186,26,330.3225806451613,1.1093428134918213
v27_seed1,35,1415.226408938144,4358.1240234375,0.14361702127659576,188,27,326.8085106382979,1.079245924949646
v27_seed1,36,1708.7177457873454,4315.607421875,0.2080536912751678,149,31,412.3489932885906,1.1220390796661377
v27_seed1,37,1694.6576031238048,4194.9638671875,0.26573426573426573,143,38,429.65034965034965,1.1016114950180054
v27_seed1,38,1973.83023583889,4311.482421875,0.296875,128,38,480.0,1.0860679149627686
v27_seed1,39,1822.9263085793323,4281.8779296875,0.36220472440944884,127,46,483.7795275590551,1.0789544582366943
v27_seed1,40,1725.473238776712,4311.52783203125,0.29411764705882354,136,40,451.7647058823529,1.0018787384033203
v27_seed1,41,2030.2426913031215,4331.77197265625,0.3448275862068966,116,40,529.6551724137931,1.0196137428283691
v27_seed1,42,1780.791037241618,4344.58447265625,0.3106060606060606,132,41,465.45454545454544,1.0250017642974854
v27_seed1,43,1809.7752520525896,4158.2939453125,0.31851851851851853,135,43,455.1111111111111,1.0225989818572998
v27_seed1,44,1927.7066860511654,4310.98974609375,0.36065573770491804,122,44,503.60655737704917,0.9886866807937622
v27_seed1,45,1922.547621443465,4266.5341796875,0.42342342342342343,111,47,553.5135135135135,1.0158753395080566
v27_seed1,46,2202.550870857987,4308.7587890625,0.4803921568627451,102,49,602.3529411764706,0.9657201766967773
v27_seed1,47,2110.503141817839,4321.240234375,0.5869565217391305,92,54,667.8260869565217,0.9372088313102722
v27_seed1,48,2329.6674696180557,4537.41162109375,0.6222222222222222,90,56,682.6666666666666,0.948477566242218
v27_seed1,49,2394.705492521587,4315.84716796875,0.5789473684210527,95,55,646.7368421052631,0.9856774806976318
v27_seed1,50,2780.0640147644795,4318.4482421875,0.7037037037037037,81,57,758.5185185185185,0.9723348617553711
v27_seed1,51,2180.493195443783,4308.4501953125,0.4716981132075472,106,50,579.622641509434,0.8787315487861633
v27_seed1,52,2074.4694963473717,4302.70166015625,0.5048543689320388,103,52,596.504854368932,0.8879297375679016
v27_seed1,53,2018.244779814274,4314.7763671875,0.47706422018348627,109,52,563.6697247706422,0.8930481672286987
v27_seed1,54,2154.2867024739585,4316.8173828125,0.4444444444444444,108,48,568.8888888888889,0.9176324605941772
v27_seed1,55,2024.067539046296,4320.4482421875,0.40707964601769914,113,46,543.7168141592921,0.85081946849823
v27_seed1,56,2278.644426512487,4319.439453125,0.5048543689320388,103,52,596.504854368932,0.8159489035606384
v27_seed1,57,2870.645391922963,4316.42041015625,0.7341772151898734,79,58,777.7215189873418,0.8580950498580933
v27_seed1,58,2765.566392707825,4380.10595703125,0.675,80,54,768.0,0.7627602219581604
